experiment_id,universe,claim_count,claim_types,status_mix,source_files
CB-HANDOVER,CB,23,hypothesis|method|parameter|result|verdict,verified:20|open:3,1
CB-MEMEVOLVE,CB,65,hypothesis|method|parameter|result|verdict,verified:48|open:10|refuted:4|superseded:2|contradicted:1,4
DB-AGORA,DB,34,hypothesis|method|result|verdict,verified:27|open:6|refuted:1,1
DB-CODEAUDIT,DB,34,hypothesis|parameter|result|verdict,open:28|verified:6,2
DB-E32,DB,1,result,verified:1,1
DB-E33,DB,1,result,verified:1,1
DB-E34,DB,1,result,verified:1,1
DB-E36,DB,1,result,verified:1,1
DB-E39,DB,1,result,verified:1,1
DB-L9PATCH,DB,16,method|parameter|result|verdict,open:14|verified:2,1
DB-MEMEVO,DB,16,method|parameter|verdict,verified:9|superseded:5|contradicted:2,2
DB-MEMEVO-D,DB,1,result,verified:1,1
DB-MEMEVO-D1,DB,1,result,verified:1,1
DB-MEMEVO-D6,DB,1,result,verified:1,1
DB-MEMEVO-E1,DB,1,result,verified:1,1
DB-MEMEVO-E13,DB,1,result,verified:1,1
DB-MEMEVO-E14,DB,1,result,verified:1,1
DB-MEMEVO-E18,DB,1,result,verified:1,1
DB-MEMEVO-E19,DB,1,result,verified:1,1
DB-MEMEVO-E2,DB,1,result,verified:1,1
DB-MEMEVO-E24b,DB,1,result,verified:1,1
DB-MEMEVO-E32,DB,2,result,verified:2,1
DB-MEMEVO-E33,DB,1,result,verified:1,1
DB-MEMEVO-E34,DB,1,result,verified:1,1
DB-MEMEVO-E35,DB,1,result,verified:1,1
DB-MEMEVO-E36,DB,1,result,verified:1,1
DB-MEMEVO-E37,DB,1,result,verified:1,1
DB-MEMEVO-E38,DB,1,verdict,verified:1,1
DB-MEMEVO-E39,DB,1,result,verified:1,1
DB-MEMEVO-E40,DB,1,result,verified:1,1
DB-MEMEVO-E41,DB,1,result,verified:1,1
DB-MEMEVO-E42,DB,1,result,verified:1,1
DB-MEMEVO-E43,DB,1,result,verified:1,1
DB-MEMEVO-E6,DB,1,result,verified:1,1
DB-PLAN,DB,1,method,open:1,1
DB-R7,DB,1,result,verified:1,1
DB-T0-1,DB,1,method,open:1,1
DB-T0-2,DB,1,method,open:1,1
DB-T1-1,DB,1,hypothesis,open:1,1
DB-T2-1,DB,1,hypothesis,open:1,1
DB-T3-1,DB,1,hypothesis,open:1,1
DB-T4-1,DB,1,hypothesis,open:1,1
DB-V4-EXPLORE,DB,14,verdict,verified:14,1
DB-V4-IMPL,DB,13,hypothesis|method|parameter,verified:9|open:4,1
DB-V4-WO,DB,11,hypothesis|method|parameter|result,verified:6|open:2|contradicted:2|superseded:1,1
DEPLOY-AX1,DEPLOY,1,result,verified:1,1
DEPLOY-REF,DEPLOY,39,method|parameter|verdict,verified:39,5
DEPLOY-S0,DEPLOY,29,method|parameter|result|verdict,verified:29,2
DEPLOY-V32,DEPLOY,33,method|parameter|verdict,verified:33,4
DEPLOY-V32-CODEMAP,DEPLOY,10,method|parameter,verified:10,1
DEPLOY-V32-LIFELOG,DEPLOY,51,parameter|result,verified:51,1
DEPLOY-V39,DEPLOY,73,hypothesis|method|parameter|result|verdict,verified:71|superseded:2,6
DEPLOY-V39-LIFELOG,DEPLOY,51,parameter|result,verified:51,1
DS-BATCH-R1,DS,30,hypothesis|method|parameter|result|verdict,verified:30,1
DS-BATCH-R2,DS,27,method|parameter|result|verdict,verified:27,1
DS-BATCH-R3,DS,11,method|parameter|result|verdict,verified:11,1
DS-BATCH-R4,DS,13,method|parameter|result|verdict,verified:13,1
DS-BATCH-R5,DS,14,method|parameter|verdict,verified:14,1
DS-D1,DS,1,verdict,verified:1,1
DS-D2,DS,1,verdict,verified:1,1
DS-D3,DS,1,verdict,verified:1,1
DS-D4,DS,1,verdict,verified:1,1
DS-D5,DS,1,verdict,verified:1,1
DS-D6,DS,1,verdict,verified:1,1
DS-D7,DS,1,verdict,verified:1,1
DS-D8,DS,1,verdict,refuted:1,1
DS-DESIGN,DS,22,hypothesis|method|parameter|result,open:21|verified:1,1
DS-FINAL,DS,23,parameter|result|verdict,verified:22|superseded:1,1
DS-H1,DS,1,hypothesis,open:1,1
DS-H10,DS,1,hypothesis,open:1,1
DS-H2,DS,1,hypothesis,open:1,1
DS-H3,DS,1,hypothesis,open:1,1
DS-H4,DS,1,hypothesis,open:1,1
DS-H5,DS,1,hypothesis,open:1,1
DS-H6,DS,1,hypothesis,open:1,1
DS-H6B,DS,1,hypothesis,open:1,1
DS-H7,DS,1,hypothesis,open:1,1
DS-H8,DS,1,hypothesis,open:1,1
DS-H9,DS,1,hypothesis,open:1,1
DS-HANDOVER-PKG,DS,48,method|parameter|result|verdict,verified:48,2
