✓ 检测器自测通过
  none_1: gain=+0.2367
  none_2: gain=+0.2106
  none_3: gain=+0.0432
  none_4: gain=+0.1791
  none_5: gain=+0.2675
  none_6: gain=+0.1999
  none_7: gain=+0.3202
  none_8: gain=+0.1961
  none_9: gain=+0.2503
  none_10: gain=+0.2260
  none_11: gain=+0.2580
  none_12: gain=+0.2554
  none_13: gain=+0.1986
  none_14: gain=+0.2764
  none_15: gain=+0.1754
  none_16: gain=+0.2536
  none_17: gain=+0.2137
  none_18: gain=+0.2421
  none_19: gain=+0.2264
  none_20: gain=+0.2117
  none_21: gain=+0.2607
  none_22: gain=+0.1973
  none_23: gain=+0.2880
  none_24: gain=+0.0336
  none_25: gain=+0.3004
  none_26: gain=+0.0584
  none_27: gain=+0.0406
  none_28: gain=+0.2483
  none_29: gain=+0.1824
  none_30: gain=+0.0448
  none_31: gain=+0.0546
  none_32: gain=+0.2466
  none_33: gain=+0.2311
  none_34: gain=+0.2643
  none_35: gain=+0.2317
  none_36: gain=+0.2018
  none_37: gain=+0.2968
  none_38: gain=+0.2548
  none_39: gain=+0.1710
  none_40: gain=+0.2309
  none_41: gain=+0.2652
  none_42: gain=+0.2394
  none_43: gain=+0.2175
  none_44: gain=+0.2362
  drift_1: gain=+0.1937
  drift_2: gain=+0.1967
  drift_3: gain=-0.0617
  drift_4: gain=-0.1428
  drift_5: gain=+0.1119
  drift_6: gain=+0.0355
  drift_7: gain=+0.0251
  drift_8: gain=+0.0211
  drift_9: gain=-0.0876
  drift_10: gain=+0.0667
  drift_11: gain=+0.0393
  drift_12: gain=-0.2579
  drift_13: gain=+0.0293
  drift_14: gain=-0.1879
  drift_15: gain=+0.1558
  drift_16: gain=+0.1086
  drift_17: gain=+0.0524
  drift_18: gain=+0.1188
  drift_19: gain=+0.0947
  drift_20: gain=+0.0102
  drift_21: gain=+0.1104
  drift_22: gain=+0.0196
  drift_23: gain=-0.1998
  drift_24: gain=-0.0847
  drift_25: gain=-0.0904
  drift_26: gain=-0.1664
  drift_27: gain=-0.1248
  drift_28: gain=+0.2218
  drift_29: gain=-0.1603
  drift_30: gain=-0.1926
  drift_31: gain=+0.1027
  drift_32: gain=-0.2224
  drift_33: gain=+0.2028
  drift_34: gain=+0.1900
  drift_35: gain=-0.1305
  drift_36: gain=+0.1559
  drift_37: gain=+0.2817
  drift_38: gain=-0.0407
  drift_39: gain=+0.1530
  drift_40: gain=-0.1232
  drift_41: gain=+0.1979
  drift_42: gain=+0.2371
  drift_43: gain=+0.1647
  drift_44: gain=-0.1958
  driftg_1: gain=+0.2385
  driftg_2: gain=+0.0295
  driftg_3: gain=-0.0831
  driftg_4: gain=+0.0336
  driftg_5: gain=+0.2574
  driftg_6: gain=+0.0978
  driftg_7: gain=+0.0599
  driftg_8: gain=+0.0589
  driftg_9: gain=+0.1270
  driftg_10: gain=+0.2260
  driftg_11: gain=+0.0188
  driftg_12: gain=+0.0517
  driftg_13: gain=+0.0798
  driftg_14: gain=-0.0689
  driftg_15: gain=-0.1784
  driftg_16: gain=+0.0526
  driftg_17: gain=-0.1438
  driftg_18: gain=+0.0489
  driftg_19: gain=+0.0593
  driftg_20: gain=+0.0482
  driftg_21: gain=+0.2174
  driftg_22: gain=-0.0004
  driftg_23: gain=-0.1095
  driftg_24: gain=-0.0876
  driftg_25: gain=+0.2218
  driftg_26: gain=-0.0590
  driftg_27: gain=-0.1011
  driftg_28: gain=+0.1159
  driftg_29: gain=-0.0211
  driftg_30: gain=+0.1525
  driftg_31: gain=+0.1038
  driftg_32: gain=+0.1517
  driftg_33: gain=+0.1349
  driftg_34: gain=-0.1104
  driftg_35: gain=+0.2179
  driftg_36: gain=+0.2171
  driftg_37: gain=+0.2047
  driftg_38: gain=+0.1771
  driftg_39: gain=+0.0343
  driftg_40: gain=+0.2223
  driftg_41: gain=-0.0508
  driftg_42: gain=-0.0441
  driftg_43: gain=+0.0655
  driftg_44: gain=-0.0679
  corrupt_1: gain=-0.0584
  corrupt_2: gain=+0.0028
  corrupt_3: gain=-0.1438
  corrupt_4: gain=-0.1647
  corrupt_5: gain=+0.0448
  corrupt_6: gain=+0.0672
  corrupt_7: gain=-0.0493
  corrupt_8: gain=-0.0191
  corrupt_9: gain=+0.0628
  corrupt_10: gain=-0.0251
  corrupt_11: gain=-0.0550
  corrupt_12: gain=+0.0469
  corrupt_13: gain=-0.1945
  corrupt_14: gain=-0.0608
  corrupt_15: gain=+0.0253
  corrupt_16: gain=+0.1377
  corrupt_17: gain=-0.0506
  corrupt_18: gain=+0.0814
  corrupt_19: gain=-0.0641
  corrupt_20: gain=-0.0062
  corrupt_21: gain=-0.1532
  corrupt_22: gain=-0.0436
  corrupt_23: gain=-0.0903
  corrupt_24: gain=+0.1990
  corrupt_25: gain=+0.1818
  corrupt_26: gain=-0.0396
  corrupt_27: gain=+0.0220
  corrupt_28: gain=+0.0837
  corrupt_29: gain=-0.0749
  corrupt_30: gain=+0.0313
  corrupt_31: gain=-0.0154
  corrupt_32: gain=-0.1156
  corrupt_33: gain=+0.1421
  corrupt_34: gain=-0.0600
  corrupt_35: gain=+0.0149
  corrupt_36: gain=-0.0212
  corrupt_37: gain=-0.1018
  corrupt_38: gain=+0.0612
  corrupt_39: gain=+0.0930
  corrupt_40: gain=-0.1459
  corrupt_41: gain=-0.0592
  corrupt_42: gain=+0.0446
  corrupt_43: gain=-0.0979
  corrupt_44: gain=-0.0688
  cal_none_1001: gain=+0.2002
  cal_none_1002: gain=+0.1831
  cal_none_1003: gain=+0.2521
  cal_none_1004: gain=+0.1724
  cal_none_1005: gain=+0.1392
  cal_none_1006: gain=+0.2412
  cal_none_1007: gain=+0.2411
  cal_none_1008: gain=+0.2453
  cal_none_1009: gain=+0.0373
  cal_none_1010: gain=+0.2141
  cal_none_1011: gain=+0.0507
  cal_none_1012: gain=+0.2919
  cal_none_1013: gain=+0.2722
  cal_none_1014: gain=+0.2229
  cal_none_1015: gain=+0.0349
  cal_none_1016: gain=+0.2474
  cal_none_1017: gain=+0.0521
  cal_none_1018: gain=+0.2194
  cal_none_1019: gain=+0.2376
  cal_none_1020: gain=+0.2181

标定结果：
  ph        {'alpha': 0.0, 'lambd': 0.02}  标定集FPR=0.05
  cusum     {'k': 0.0025, 'h': 0.05}  标定集FPR=0.00
  adwin     {'delta': 0.1}  标定集FPR=0.00
  baseline  {'thr': 0.01}  标定集FPR=0.15  ⚠️ 无档满足FPR≤10%，取FPR最小档

========================================================================================
