名字	次数	来源	覆盖章节数	ngram原始频次
涡波	4104	ngram	373	9139
拉丝缇娅拉	3968	ngram	186	5068
莱纳	2264	ngram	195	3859
斯诺	2207	ngram	195	4075
诺斯菲	2152	ngram	161	3919
玛利亚	2070	ngram	150	3990
帕林库洛	1896	ngram	143	3184
缇亚	1816	ngram	168	5810
诺文	1622	ngram	187	2887
阳滝	1617	ngram	182	3381
莉帕	1578	ngram	153	2351
罗德	1536	ngram	68	2361
拉古涅	1371	ngram	140	2017
艾德	1083	ngram	134	1790
赛尔德拉	1023	ngram	87	1505
阿尔缇	991	ngram	137	1460
缇缇	911	ngram	119	1665
格连	811	ngram	105	1043
缇娅拉	784	ngram	88	6660
拉斯缇亚拉	784	ngram	80	958
海莉	718	ngram	56	1046
古奈尔	693	ngram	56	913
缇达	654	ngram	118	1095
阿雷亚斯	637	ngram	113	781
弗茨亚茨	616	ngram	180	1289
法芙纳	598	ngram	51	804
相川涡波	579	ngram	231	693
赫勒比勒夏	572	ngram	174	583
塞拉	572	ngram	81	768
迪普拉库拉	490	ngram	77	584
沃克	472	ngram	118	616
法夫纳	462	ngram	79	602
缇亚拉	438	ngram	82	2164
艾尔米拉德	412	ngram	50	512
罗密斯	345	ngram	37	486
诺伊	342	ngram	44	524
雷纳尔多	337	ngram	29	491
斐勒卢托	335	ngram	51	360
玛莉亚	318	ngram	58	482
露洁	285	ngram	33	368
希丝	275	ngram	38	593
勒伽西	273	ngram	81	371
芙茨亚茨	272	ngram	74	508
诺瓦露	265	ngram	44	463
希达尔克	261	ngram	45	326
芙兰琉莱	258	ngram	45	270
涡涡	258	ngram	48	309
元老院	231	ngram	77	231
阳滝姊	229	ngram	27	385
考虑到	226	ngram	159	226
